MCC,MNC,LAC_TAC,ENB_GNB,CI,ECI_NCI,CGI_ECGI_NCGI,PARAGON_ID,CELL_IDENTIFIER,TECNOLOGIA,BANDA,LATITUDE,LONGITUDE,AZIMUTE,NOME,MORADA,MORADA1,FREGUESIA,Concelho,Concelho_CD,Distrito,Distrito_CD,CP4,CP3,DESIGNACAO_POSTAL,DATA,DICOFRE
268,2,,105292,51,26954803,268-02-26954803,,,4,900,39.1646006,-9.2833588,0,A DOS CUNHADOS-EN8 (1),,,UNIAO DAS FREGUESIAS DE A DOS CUNHADOS E MACEIRA,TORRES VEDRAS,1113,LISBOA,11,,,,6/1/2025,111321
268,2,,105292,91,26954843,268-02-26954843,,,4,2600,39.1646006,-9.2833588,0,A DOS CUNHADOS-EN8 (1),,,UNIAO DAS FREGUESIAS DE A DOS CUNHADOS E MACEIRA,TORRES VEDRAS,1113,LISBOA,11,,,,6/1/2025,111321
268,2,,105292,181,26954933,268-02-26954933,,,4,1800,39.1646006,-9.2833588,0,A DOS CUNHADOS-EN8 (1),,,UNIAO DAS FREGUESIAS DE A DOS CUNHADOS E MACEIRA,TORRES VEDRAS,1113,LISBOA,11,,,,6/1/2025,111321
268,2,,505292,51,129354803,268-02-129354803,,,4,900,39.1646006,-9.2833588,0,A DOS CUNHADOS-EN8 (1),,,UNIAO DAS FREGUESIAS DE A DOS CUNHADOS E MACEIRA,TORRES VEDRAS,1113,LISBOA,11,,,,6/1/2025,111321
268,2,,505292,181,129354933,268-02-129354933,,,4,1800,39.1646006,-9.2833588,0,A DOS CUNHADOS-EN8 (1),,,UNIAO DAS FREGUESIAS DE A DOS CUNHADOS E MACEIRA,TORRES VEDRAS,1113,LISBOA,11,,,,6/1/2025,111321
268,2,,105292,52,26954804,268-02-26954804,,,4,900,39.1646006,-9.2833588,120,A DOS CUNHADOS-EN8 (2),,,UNIAO DAS FREGUESIAS DE A DOS CUNHADOS E MACEIRA,TORRES VEDRAS,1113,LISBOA,11,,,,6/1/2025,111321
268,2,,105292,92,26954844,268-02-26954844,,,4,2600,39.1646006,-9.2833588,120,A DOS CUNHADOS-EN8 (2),,,UNIAO DAS FREGUESIAS DE A DOS CUNHADOS E MACEIRA,TORRES VEDRAS,1113,LISBOA,11,,,,6/1/2025,111321
268,2,,105292,182,26954934,268-02-26954934,,,4,1800,39.1646006,-9.2833588,120,A DOS CUNHADOS-EN8 (2),,,UNIAO DAS FREGUESIAS DE A DOS CUNHADOS E MACEIRA,TORRES VEDRAS,1113,LISBOA,11,,,,6/1/2025,111321
268,2,,505292,52,129354804,268-02-129354804,,,4,900,39.1646006,-9.2833588,120,A DOS CUNHADOS-EN8 (2),,,UNIAO DAS FREGUESIAS DE A DOS CUNHADOS E MACEIRA,TORRES VEDRAS,1113,LISBOA,11,,,,6/1/2025,111321
268,2,,505292,182,129354934,268-02-129354934,,,4,1800,39.1646006,-9.2833588,120,A DOS CUNHADOS-EN8 (2),,,UNIAO DAS FREGUESIAS DE A DOS CUNHADOS E MACEIRA,TORRES VEDRAS,1113,LISBOA,11,,,,6/1/2025,111321
268,2,,105292,53,26954805,268-02-26954805,,,4,900,39.1646006,-9.2833588,240,A DOS CUNHADOS-EN8 (3),,,UNIAO DAS FREGUESIAS DE A DOS CUNHADOS E MACEIRA,TORRES VEDRAS,1113,LISBOA,11,,,,6/1/2025,111321
268,2,,105292,93,26954845,268-02-26954845,,,4,2600,39.1646006,-9.2833588,240,A DOS CUNHADOS-EN8 (3),,,UNIAO DAS FREGUESIAS DE A DOS CUNHADOS E MACEIRA,TORRES VEDRAS,1113,LISBOA,11,,,,6/1/2025,111321
268,2,,105292,183,26954935,268-02-26954935,,,4,1800,39.1646006,-9.2833588,240,A DOS CUNHADOS-EN8 (3),,,UNIAO DAS FREGUESIAS DE A DOS CUNHADOS E MACEIRA,TORRES VEDRAS,1113,LISBOA,11,,,,6/1/2025,111321
268,2,,505292,53,129354805,268-02-129354805,,,4,900,39.1646006,-9.2833588,240,A DOS CUNHADOS-EN8 (3),,,UNIAO DAS FREGUESIAS DE A DOS CUNHADOS E MACEIRA,TORRES VEDRAS,1113,LISBOA,11,,,,6/1/2025,111321
